trade_date,ts_code,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
2026-03-11,002594.SZ,比亚迪,96.75,100.34,95.67,99.22,96.6,2.62,2.712215,903744.0,8925093667.94,2.59
2026-03-12,002594.SZ,比亚迪,99.23,100.69,98.7,99.1,99.22,-0.12,-0.120943,502524.0,4995016177.19,1.44
2026-03-13,002594.SZ,比亚迪,99.0,100.79,98.3,99.67,99.1,0.57,0.575177,519765.0,5199004697.47,1.49
2026-03-16,002594.SZ,比亚迪,99.67,105.0,98.79,104.62,99.67,4.95,4.966389,1087814.0,11184164654.67,3.12
2026-03-17,002594.SZ,比亚迪,104.63,106.66,102.71,102.87,104.62,-1.75,-1.67272,841389.0,8793237612.73,2.41
2026-03-18,002594.SZ,比亚迪,102.82,102.82,100.05,101.69,102.87,-1.18,-1.147079,617996.0,6257459329.85,1.77
2026-03-19,002594.SZ,比亚迪,100.99,103.88,100.47,102.31,101.69,0.62,0.609696,531059.0,5450382395.36,1.52
2026-03-20,002594.SZ,比亚迪,102.0,104.45,101.56,103.03,102.31,0.72,0.703744,628783.0,6495105103.63,1.8
2026-03-23,002594.SZ,比亚迪,103.87,111.82,103.18,107.63,103.03,4.6,4.464719,1782446.0,19284919428.95,5.11
2026-03-24,002594.SZ,比亚迪,108.4,108.4,104.93,106.64,107.63,-0.99,-0.919818,921446.0,9784806490.81,2.64
2026-03-25,002594.SZ,比亚迪,106.72,107.66,105.28,106.6,106.64,-0.04,-0.037509,662665.0,7061311677.57,1.9
2026-03-26,002594.SZ,比亚迪,106.62,107.68,102.7,103.14,106.6,-3.46,-3.245779,828121.0,8655663075.43,2.38
2026-03-27,002594.SZ,比亚迪,103.99,105.89,102.75,105.3,103.14,2.16,2.094241,658455.0,6893710025.99,1.89
2026-03-30,002594.SZ,比亚迪,103.51,108.0,103.25,106.05,105.3,0.75,0.712251,727557.0,7713482118.31,2.09
2026-03-31,002594.SZ,比亚迪,107.0,108.49,105.1,105.25,106.05,-0.8,-0.754361,588659.0,6283345063.15,1.69
2026-04-01,002594.SZ,比亚迪,105.9,106.5,102.37,102.65,105.25,-2.6,-2.470309,715198.0,7383168511.54,2.05
2026-04-02,002594.SZ,比亚迪,102.49,103.48,100.5,101.65,102.65,-1.0,-0.974184,604349.0,6153958207.6,1.73
2026-04-03,002594.SZ,比亚迪,101.8,102.3,99.0,99.01,101.65,-2.64,-2.597147,491745.0,4921224065.51,1.41
2026-04-07,002594.SZ,比亚迪,99.5,99.77,97.45,97.98,99.01,-1.03,-1.040299,379697.0,3731963029.9,1.09
2026-04-08,002594.SZ,比亚迪,98.5,101.28,98.11,101.22,97.98,3.24,3.306797,562818.0,5621410290.06,1.61
2026-04-09,002594.SZ,比亚迪,100.21,100.21,98.81,99.03,101.22,-2.19,-2.163604,379063.0,3764528220.2,1.09
2026-04-10,002594.SZ,比亚迪,99.39,102.2,99.03,101.67,99.03,2.64,2.665859,605731.0,6130392651.86,1.74
2026-04-13,002594.SZ,比亚迪,101.57,104.99,100.81,104.25,101.67,2.58,2.537622,663136.0,6887089022.36,1.9
2026-04-14,002594.SZ,比亚迪,103.0,104.19,102.5,103.82,104.25,-0.43,-0.41247,543343.0,5614541232.06,1.56
2026-04-15,002594.SZ,比亚迪,103.82,104.77,102.5,103.03,103.82,-0.79,-0.760932,428719.0,4431952619.71,1.23
2026-04-16,002594.SZ,比亚迪,103.28,105.97,103.28,105.54,103.03,2.51,2.436184,643661.0,6763624066.88,1.85
2026-04-17,002594.SZ,比亚迪,104.99,105.46,103.12,103.78,105.54,-1.76,-1.667614,442048.0,4595671718.33,1.27
2026-04-20,002594.SZ,比亚迪,103.78,103.95,102.62,102.91,103.78,-0.87,-0.838312,383677.0,3957213043.27,1.1
2026-04-21,002594.SZ,比亚迪,102.91,103.19,101.33,101.53,102.91,-1.38,-1.340978,432258.0,4398233494.97,1.24
2026-04-22,002594.SZ,比亚迪,101.11,102.38,100.6,101.62,101.53,0.09,0.088644,343733.0,3485648244.02,0.99
2026-04-23,002594.SZ,比亚迪,101.57,101.59,99.01,99.98,101.62,-1.64,-1.613856,492164.0,4915554212.21,1.41
2026-04-24,002594.SZ,比亚迪,99.91,99.91,98.7,99.46,99.98,-0.52,-0.520104,337739.0,3348015918.73,0.97
2026-04-27,002594.SZ,比亚迪,100.0,104.0,99.88,102.34,99.46,2.88,2.895636,601670.0,6169037081.86,1.73
2026-04-28,002594.SZ,比亚迪,101.85,103.3,101.34,101.48,102.34,-0.86,-0.840336,361550.0,3687912785.41,1.04
2026-04-29,002594.SZ,比亚迪,101.47,105.64,101.0,105.4,101.48,3.92,3.86283,1056558.0,11021927729.24,3.03
2026-04-30,002594.SZ,比亚迪,104.54,105.45,102.37,102.98,105.4,-2.42,-2.296015,600979.0,6206126903.48,1.72
2026-05-06,002594.SZ,比亚迪,101.7,101.89,100.2,100.75,102.98,-2.23,-2.165469,670487.0,6746578445.37,1.92
2026-05-07,002594.SZ,比亚迪,101.05,101.26,100.01,100.46,100.75,-0.29,-0.287841,468846.0,4708289850.76,1.34
2026-05-08,002594.SZ,比亚迪,100.47,101.0,99.8,100.02,100.46,-0.44,-0.437985,382158.0,3823821997.57,1.1
2026-05-11,002594.SZ,比亚迪,100.02,100.73,99.0,100.44,100.02,0.42,0.419916,482810.0,4812920714.72,1.38
2026-05-12,002594.SZ,比亚迪,99.97,100.1,99.1,99.23,100.44,-1.21,-1.204699,353441.0,3514548835.63,1.01
